['Adhikari2002', 'EzypoIiorz', '1-0, Adhikari2002 won on time', '2025.01.10', 'Four Knights Game: Italian Variation', None]
['EzypoIiorz', 'WhitbyFish', '0-1, WhitbyFish won by resignation', '2025.01.10', 'Owen Defense', None]
['rohitsundi', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.10', "Queen's Pawn Game: London System", None]
['zak229', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.10', 'Saragossa Opening', None]
['EzypoIiorz', 'gjeyu', '1/2-1/2, Game drawn by stalemate', '2025.01.10', 'Vienna Game: Omaha Gambit', None]
['ManiKantaReddychess', 'EzypoIiorz', '1-0, ManiKantaReddychess won by checkmate', '2025.01.11', 'Vienna Game: Max Lange Defense', None]
['EzypoIiorz', 'mitulp4', '1-0, EzypoIiorz won by checkmate', '2025.01.11', "French Defense: Queen's Knight", None]
['chessweener24', 'EzypoIiorz', '1-0, chessweener24 won by resignation', '2025.01.11', 'Vienna Game: Max Lange Defense', None]
['EzypoIiorz', 'captchathishumanscum', '1-0, EzypoIiorz won on time', '2025.01.11', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'GoMaagomaagomaa', '1-0, EzypoIiorz won by checkmate', '2025.01.12', 'Vienna Game: Max Lange Defense', None]
['badrmazen1', 'EzypoIiorz', '1-0, badrmazen1 won on time', '2025.01.12', 'Latvian Gambit: Clam Gambit', None]
['EzypoIiorz', 'giiio2332', '0-1, giiio2332 won on time', '2025.01.12', 'Vienna Game', None]
['samirbdr', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.12', 'Amsterdam Attack', None]
['Theotier666', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.13', 'Ponziani Opening: Vukovic Gambit', None]
['EzypoIiorz', 'M3-LA_77', '1-0, EzypoIiorz won - game abandoned', '2025.01.13', 'Vienna Game: Omaha Gambit', None]
['EzypoIiorz', 'ScaulbylausisJim', '0-1, ScaulbylausisJim won by resignation', '2025.01.13', 'Sicilian Defense: Closed', None]
['Puar786', 'EzypoIiorz', '1-0, Puar786 won by checkmate', '2025.01.13', 'Kádas Opening: Kádas Gambit', None]
['gabrielstahl', 'EzypoIiorz', '1-0, gabrielstahl won by resignation', '2025.01.13', 'Bird Opening: Dutch Variation', None]
['EzypoIiorz', 'numloom', '0-1, numloom won by resignation', '2025.01.13', 'Vienna Game', None]
['SubA-ra-shii', 'EzypoIiorz', '1-0, SubA-ra-shii won by resignation', '2025.01.13', 'Vienna Game: Max Lange Defense', None]
['zunza87', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.13', 'Three Knights Opening', None]
['JoJoKl16', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.13', 'Three Knights Opening', None]
['EzypoIiorz', 'abbdu21', '1-0, EzypoIiorz won on time', '2025.01.13', 'Vienna Game', None]
['Lupa_negativada', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.13', "Van't Kruijs Opening", None]
['EzypoIiorz', 'x-8301245143', '0-1, weatherskea won by checkmate', '2025.01.14', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'Fatwa01', '1-0, EzypoIiorz won by resignation', '2025.01.14', 'Vienna Game: Max Lange Defense', None]
['pk_echec', 'EzypoIiorz', '1-0, pk_echec won by resignation', '2025.01.14', "King's Pawn Game: Wayward Queen Attack", None]
['pk_echec', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.14', "King's Gambit Declined: Classical, Svenonius Variation", None]
['pk_echec', 'EzypoIiorz', '1-0, pk_echec won by checkmate', '2025.01.14', "King's Gambit Declined: Classical, Svenonius Variation", None]
['EzypoIiorz', 'Santai_dong_bro', '0-1, Santai_dong_bro won by resignation', '2025.01.14', 'Vienna Game: Max Lange Defense', None]
['EzypoIiorz', 'Targhan', '0-1, Targhan won by resignation', '2025.01.14', 'Van Geet Opening: Grünfeld Defense', None]
['bubeta14', 'EzypoIiorz', '1-0, bubeta14 won on time', '2025.01.14', 'Scotch Game', None]
['EzypoIiorz', 'Shyzuro14', '0-1, Shyzuro14 won by checkmate', '2025.01.14', 'Van Geet Opening: Grünfeld Defense', None]
['oscarlebg33098', 'EzypoIiorz', '1-0, oscarlebg33098 won by checkmate', '2025.01.14', 'Four Knights Game: Halloween Gambit, Oldtimer Variation', None]
['LocCoDon', 'EzypoIiorz', '1-0, LocCoDon won by checkmate', '2025.01.14', 'Scotch Game', None]
['EzypoIiorz', 'a7l8k', '0-1, a7l8k won by resignation', '2025.01.14', 'Van Geet Opening: Grünfeld Defense', None]
['Alpha69th', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.15', 'Scotch Game: Scotch Gambit, Kingside Variation', None]
['romano196', 'EzypoIiorz', '1-0, romano196 won by checkmate', '2025.01.15', 'Four Knights Game', None]
['EzypoIiorz', 'PapstPepsi', '0-1, PapstPepsi won on time', '2025.01.15', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'Kahavikuppi', '0-1, Kahavikuppi won by checkmate', '2025.01.15', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'granthoekstra', '1-0, EzypoIiorz won by checkmate', '2025.01.16', 'Alekhine Defense: Scandinavian Variation', None]
['Starlight437', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.16', "King's Knight Opening: Normal Variation", None]
['EzypoIiorz', 'anitafernandes', '1-0, EzypoIiorz won on time', '2025.01.16', 'Ware Defense', None]
['DHRUVNEGII', 'EzypoIiorz', '1-0, DHRUVNEGII won by checkmate', '2025.01.16', 'Ponziani Opening: Vukovic Gambit', None]
['Flolabanan2', 'EzypoIiorz', '1-0, Flolabanan2 won on time', '2025.01.16', 'Hungarian Opening: Burk Gambit', None]
['EzypoIiorz', 'flowerMeTowelsPages', '0-1, flowerMeTowelsPages won by checkmate', '2025.01.16', 'Vienna Game: Max Lange Defense', None]
['flowerMeTowelsPages', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.16', 'Scotch Game', None]
['EzypoIiorz', 'rahbv', '0-1, rahbv won by checkmate', '2025.01.16', 'Caro-Kann Defense', None]
['EzypoIiorz', 'qwert18194', '0-1, qwert18194 won by checkmate', '2025.01.16', 'Vienna Game: Anderssen Defense', None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won by checkmate', '2025.01.14', 'Alekhine Defense: Scandinavian Variation', None]
['Tobben13', 'EzypoIiorz', '1-0, Tobben13 won by checkmate', '2025.01.17', "Queen's Pawn Game: Accelerated London System", None]
['EzypoIiorz', 'senatsubasa', '1-0, EzypoIiorz won on time', '2025.01.17', 'Vienna Game: Max Lange Defense', None]
['GARFIELD114', 'EzypoIiorz', '1-0, GARFIELD114 won by resignation', '2025.01.17', "Queen's Pawn Game", None]
['HoraceTheHedgehog', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.17', "Queen's Gambit Declined: Marshall Defense", None]
['EzypoIiorz', 'jassrThefirst', '1-0, EzypoIiorz won - game abandoned', '2025.01.17', 'Van Geet Opening: Grünfeld Defense', None]
['EzypoIiorz', 'VladyslavNn', '1-0, EzypoIiorz won on time', '2025.01.17', 'Van Geet Opening: Grünfeld Defense', None]
['pedrofloresmv', 'EzypoIiorz', '1-0, pedrofloresmv won by resignation', '2025.01.17', 'Four Knights Game', None]
['minhducdepzai981', 'EzypoIiorz', '1-0, minhducdepzai981 won by resignation', '2025.01.17', "King's Knight Opening: Normal Variation", None]
['EzypoIiorz', 'Shalkar8', '1-0, EzypoIiorz won by checkmate', '2025.01.17', 'Alekhine Defense: Scandinavian Variation', None]
['EzypoIiorz', 'Cosma_Cascade', '1-0, EzypoIiorz won by resignation', '2025.01.17', "Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation", None]
